timestamp,power,1,2,3,4,5,6
1656806514,958.39,958.39,0.0,0.0,0.0,0.0,0.0
1656806521,959.12,959.12,0.0,0.0,0.0,0.0,0.0
1656806527,955.96,955.96,0.0,0.0,0.0,0.0,0.0
1656806533,950.5,950.5,0.0,0.0,0.0,0.0,0.0
1656806539,954.04,954.04,0.0,0.0,0.0,0.0,0.0
1656806545,953.55,953.55,0.0,0.0,0.0,0.0,0.0
1656806551,955.66,955.66,0.0,0.0,0.0,0.0,0.0
1656806557,953.75,953.75,0.0,0.0,0.0,0.0,0.0
1656806563,952.81,952.81,0.0,0.0,0.0,0.0,0.0
1656806569,956.66,956.66,0.0,0.0,0.0,0.0,0.0
1656806704,71.57,0.0,71.57,0.0,0.0,0.0,0.0
1656806710,70.51,0.0,70.51,0.0,0.0,0.0,0.0
1656806716,71.15,0.0,71.15,0.0,0.0,0.0,0.0
1656806722,71.75,0.0,71.75,0.0,0.0,0.0,0.0
1656806728,72.71,0.0,72.71,0.0,0.0,0.0,0.0
1656806733,71.73,0.0,71.73,0.0,0.0,0.0,0.0
1656806739,71.44,0.0,71.44,0.0,0.0,0.0,0.0
1656806745,73.27,0.0,73.27,0.0,0.0,0.0,0.0
1656806751,71.77,0.0,71.77,0.0,0.0,0.0,0.0
1656806757,73.12,0.0,73.12,0.0,0.0,0.0,0.0
1656806810,1957.33,0.0,0.0,0.0,0.0,1957.33,0.0
1656806816,1953.59,0.0,0.0,0.0,0.0,1953.59,0.0
1656806822,1949.7,0.0,0.0,0.0,0.0,1949.7,0.0
1656806828,1946.56,0.0,0.0,0.0,0.0,1946.56,0.0
1656806834,1948.17,0.0,0.0,0.0,0.0,1948.17,0.0
1656806840,1947.22,0.0,0.0,0.0,0.0,1947.22,0.0
1656806846,1946.45,0.0,0.0,0.0,0.0,1946.45,0.0
1656806852,1949.14,0.0,0.0,0.0,0.0,1949.14,0.0
1656806858,1949.45,0.0,0.0,0.0,0.0,1949.45,0.0
1656806864,1946.63,0.0,0.0,0.0,0.0,1946.63,0.0
1656807000,1410.05,0.0,0.0,0.0,0.0,0.0,1410.05
1656807007,1406.08,0.0,0.0,0.0,0.0,0.0,1406.08
1656807012,1405.83,0.0,0.0,0.0,0.0,0.0,1405.83
1656807018,1405.7,0.0,0.0,0.0,0.0,0.0,1405.7
1656807024,1408.9,0.0,0.0,0.0,0.0,0.0,1408.9
1656807030,1409.38,0.0,0.0,0.0,0.0,0.0,1409.38
1656807036,1408.79,0.0,0.0,0.0,0.0,0.0,1408.79
1656807042,1410.68,0.0,0.0,0.0,0.0,0.0,1410.68
1656807049,1410.99,0.0,0.0,0.0,0.0,0.0,1410.99
1656807054,1410.18,0.0,0.0,0.0,0.0,0.0,1410.18
1656807235,127.37,0.0,0.0,0.0,127.37,0.0,0.0
1656807240,125.93,0.0,0.0,0.0,125.93,0.0,0.0
1656807246,124.79,0.0,0.0,0.0,124.79,0.0,0.0
1656807252,123.47,0.0,0.0,0.0,123.47,0.0,0.0
1656807258,124.81,0.0,0.0,0.0,124.81,0.0,0.0
1656807264,122.93,0.0,0.0,0.0,122.93,0.0,0.0
1656807270,123.82,0.0,0.0,0.0,123.82,0.0,0.0
1656807275,123.62,0.0,0.0,0.0,123.62,0.0,0.0
1656807281,123.35,0.0,0.0,0.0,123.35,0.0,0.0
1656807287,124.24,0.0,0.0,0.0,124.24,0.0,0.0
1656807293,122.5,0.0,0.0,0.0,122.5,0.0,0.0
1656807426,1302.41,0.0,0.0,1302.41,0.0,0.0,0.0
1656807432,1303.78,0.0,0.0,1303.78,0.0,0.0,0.0
1656807438,1305.35,0.0,0.0,1305.35,0.0,0.0,0.0
1656807444,1297.07,0.0,0.0,1297.07,0.0,0.0,0.0
1656807450,1295.85,0.0,0.0,1295.85,0.0,0.0,0.0
1656807456,1295.38,0.0,0.0,1295.38,0.0,0.0,0.0
1656807462,1292.42,0.0,0.0,1292.42,0.0,0.0,0.0
1656807468,1290.48,0.0,0.0,1290.48,0.0,0.0,0.0
1656807474,1276.99,0.0,0.0,1276.99,0.0,0.0,0.0
1656807480,1282.67,0.0,0.0,1282.67,0.0,0.0,0.0
1656806517,958.76,958.76,0.0,0.0,0.0,0.0,0.0
1656806524,957.54,957.54,0.0,0.0,0.0,0.0,0.0
1656806530,953.23,953.23,0.0,0.0,0.0,0.0,0.0
1656806536,952.27,952.27,0.0,0.0,0.0,0.0,0.0
1656806542,953.8,953.8,0.0,0.0,0.0,0.0,0.0
1656806548,954.6,954.6,0.0,0.0,0.0,0.0,0.0
1656806554,954.7,954.7,0.0,0.0,0.0,0.0,0.0
1656806560,953.28,953.28,0.0,0.0,0.0,0.0,0.0
1656806566,954.73,954.73,0.0,0.0,0.0,0.0,0.0
1656806636,514.12,478.33,35.78,0.0,0.0,0.0,0.0
1656806707,71.04,0.0,71.04,0.0,0.0,0.0,0.0
1656806713,70.83,0.0,70.83,0.0,0.0,0.0,0.0
1656806719,71.45,0.0,71.45,0.0,0.0,0.0,0.0
1656806725,72.23,0.0,72.23,0.0,0.0,0.0,0.0
1656806730,72.22,0.0,72.22,0.0,0.0,0.0,0.0
1656806736,71.59,0.0,71.59,0.0,0.0,0.0,0.0
1656806742,72.35,0.0,72.35,0.0,0.0,0.0,0.0
1656806748,72.52,0.0,72.52,0.0,0.0,0.0,0.0
1656806754,72.44,0.0,72.44,0.0,0.0,0.0,0.0
1656806783,1015.22,0.0,36.56,0.0,0.0,978.66,0.0
1656806813,1955.46,0.0,0.0,0.0,0.0,1955.46,0.0
1656806819,1951.64,0.0,0.0,0.0,0.0,1951.64,0.0
1656806825,1948.13,0.0,0.0,0.0,0.0,1948.13,0.0
1656806831,1947.36,0.0,0.0,0.0,0.0,1947.36,0.0
1656806837,1947.7,0.0,0.0,0.0,0.0,1947.7,0.0
1656806843,1946.84,0.0,0.0,0.0,0.0,1946.84,0.0
1656806849,1947.8,0.0,0.0,0.0,0.0,1947.8,0.0
1656806855,1949.3,0.0,0.0,0.0,0.0,1949.3,0.0
1656806861,1948.04,0.0,0.0,0.0,0.0,1948.04,0.0
1656806932,1678.34,0.0,0.0,0.0,0.0,973.32,705.02
1656807003,1408.06,0.0,0.0,0.0,0.0,0.0,1408.06
1656807009,1405.96,0.0,0.0,0.0,0.0,0.0,1405.96
1656807015,1405.76,0.0,0.0,0.0,0.0,0.0,1405.76
1656807021,1407.3,0.0,0.0,0.0,0.0,0.0,1407.3
1656807027,1409.14,0.0,0.0,0.0,0.0,0.0,1409.14
1656807033,1409.08,0.0,0.0,0.0,0.0,0.0,1409.08
1656807039,1409.74,0.0,0.0,0.0,0.0,0.0,1409.74
1656807045,1410.84,0.0,0.0,0.0,0.0,0.0,1410.84
1656807051,1410.58,0.0,0.0,0.0,0.0,0.0,1410.58
1656807144,768.78,0.0,0.0,0.0,63.68,0.0,705.09
1656807237,126.65,0.0,0.0,0.0,126.65,0.0,0.0
1656807243,125.36,0.0,0.0,0.0,125.36,0.0,0.0
1656807249,124.13,0.0,0.0,0.0,124.13,0.0,0.0
1656807255,124.14,0.0,0.0,0.0,124.14,0.0,0.0
1656807261,123.87,0.0,0.0,0.0,123.87,0.0,0.0
1656807267,123.38,0.0,0.0,0.0,123.38,0.0,0.0
1656807272,123.72,0.0,0.0,0.0,123.72,0.0,0.0
1656807278,123.48,0.0,0.0,0.0,123.48,0.0,0.0
1656807284,123.79,0.0,0.0,0.0,123.79,0.0,0.0
1656807290,123.37,0.0,0.0,0.0,123.37,0.0,0.0
1656807359,712.46,0.0,0.0,651.21,61.25,0.0,0.0
1656807429,1303.1,0.0,0.0,1303.1,0.0,0.0,0.0
1656807435,1304.56,0.0,0.0,1304.56,0.0,0.0,0.0
1656807441,1301.21,0.0,0.0,1301.21,0.0,0.0,0.0
1656807447,1296.46,0.0,0.0,1296.46,0.0,0.0,0.0
1656807453,1295.62,0.0,0.0,1295.62,0.0,0.0,0.0
1656807459,1293.9,0.0,0.0,1293.9,0.0,0.0,0.0
1656807465,1291.45,0.0,0.0,1291.45,0.0,0.0,0.0
1656807471,1283.74,0.0,0.0,1283.74,0.0,0.0,0.0
1656807477,1279.83,0.0,0.0,1279.83,0.0,0.0,0.0
